
Image Name                     PID Session Name        Session#    Mem Usage
RuntimeBroker.exe            14384 Console                    8     59,020 K
svchost.exe                  33960 Console                    8     22,664 K
UserOOBEBroker.exe           34584 Console                    8     10,972 K
RuntimeBroker.exe            30808 Console                    8     39,004 K
ACCUserPS.exe                 8136 Console                    8     10,108 K
WidgetService.exe            34300 Console                    8     23,588 K
dllhost.exe                  33928 Console                    8     21,132 K
ctfmon.exe                   29916 Console                    8     41,388 K
PhoneExperienceHost.exe      27704 Console                    8    154,244 K
SecurityHealthSystray.exe    29148 Console                    8     12,568 K
RtkAudUService64.exe         34924 Console                    8     16,764 K
OneDrive.exe                 34840 Console                    8    179,064 K
TextInputHost.exe            28796 Console                    8    123,528 K
ADESv2BW.exe                 13760 Services                   0     10,092 K
msedge.exe                   26236 Console                    8    127,716 K
msedge.exe                   24084 Console                    8      9,176 K
msedge.exe                    5104 Console                    8     42,812 K
msedge.exe                   28612 Console                    8     38,320 K
msedge.exe                   32660 Console                    8     18,288 K
Viber.exe                    28972 Console                    8    338,236 K
RadeonSoftware.exe           23452 Console                    8     61,836 K
cncmd.exe                    28288 Console                    8      8,032 K
AMDRSServ.exe                28516 Console                    8     89,920 K
ApplicationFrameHost.exe     26640 Console                    8     52,252 K
svchost.exe                  18884 Console                    8     23,028 K
amdow.exe                    19832 Console                    8      2,636 K
svchost.exe                   1324 Console                    8     14,656 K
msedge.exe                   22592 Console                    8     82,952 K
msedge.exe                   29308 Console                    8     26,508 K
CrossDeviceService.exe        2016 Console                    8     83,732 K
RuntimeBroker.exe            19464 Console                    8     14,020 K
svchost.exe                  22336 Console                    8     24,248 K
dllhost.exe                  33880 Console                    8     13,280 K
ShellExperienceHost.exe      32572 Console                    8     67,800 K
RuntimeBroker.exe            32948 Console                    8     25,816 K
chrome.exe                   20120 Console                    8    208,780 K
chrome.exe                   34364 Console                    8      8,720 K
chrome.exe                   19196 Console                    8    189,500 K
chrome.exe                   31312 Console                    8     60,376 K
chrome.exe                   33188 Console                    8     21,052 K
chrome.exe                   33480 Console                    8    175,256 K
Code.exe                     22460 Console                    8    125,976 K
Code.exe                      9800 Console                    8     33,672 K
Code.exe                     35144 Console                    8    134,328 K
Code.exe                     35416 Console                    8     48,412 K
Code.exe                     32748 Console                    8    319,844 K
Code.exe                     32536 Console                    8    112,012 K
Code.exe                      9168 Console                    8    159,996 K
Code.exe                     32288 Console                    8     96,124 K
Code.exe                     35356 Console                    8     87,988 K
conhost.exe                  22060 Console                    8      7,436 K
powershell.exe               16500 Console                    8     57,160 K
conhost.exe                  35116 Console                    8      7,432 K
powershell.exe               23208 Console                    8     56,084 K
conhost.exe                  35728 Console                    8      7,428 K
bash.exe                     21656 Console                    8      5,808 K
conhost.exe                  15964 Console                    8      7,436 K
bash.exe                     16200 Console                    8      5,800 K
conhost.exe                  26364 Console                    8      7,480 K
powershell.exe               32172 Console                    8     56,516 K
bash.exe                     30172 Console                    8     11,844 K
conhost.exe                  22796 Console                    8      7,568 K
bash.exe                     19776 Console                    8      5,788 K
pet.exe                       6424 Console                    8      6,580 K
bash.exe                     16600 Console                    8     11,848 K
conhost.exe                   7192 Console                    8      6,692 K
bash.exe                      6096 Console                    8     12,084 K
conhost.exe                  23100 Console                    8      7,520 K
powershell.exe               27824 Console                    8     59,296 K
Code.exe                     36628 Console                    8    283,444 K
chrome.exe                   35924 Console                    8    260,188 K
AMDRSSrcExt.exe              33384 Console                    8     63,420 K
chrome.exe                   14232 Console                    8     52,900 K
chrome.exe                   24856 Console                    8     22,860 K
chrome.exe                   32416 Console                    8    152,992 K
SystemSettings.exe           21268 Console                    8      6,424 K
chrome.exe                   27776 Console                    8     43,420 K
ShellHost.exe                30304 Console                    8     49,528 K
SDXHelper.exe                30908 Console                    8     32,740 K
svchost.exe                  33232 Services                   0      9,040 K
conhost.exe                  17048 Console                    8      7,832 K
powershell.exe               19756 Console                    8     72,836 K
Code.exe                     17504 Console                    8     97,916 K
svchost.exe                  36316 Services                   0     13,808 K
chrome.exe                    2620 Console                    8     29,804 K
svchost.exe                  19608 Services                   0      9,844 K
dllhost.exe                  27884 Console                    8      9,404 K
SearchProtocolHost.exe        6668 Services                   0     18,864 K
SearchFilterHost.exe         35572 Services                   0     11,308 K
audiodg.exe                  37848 Services                   0     19,528 K
python.exe                    3704 Console                    8     15,736 K
tasklist.exe                 15924 Console                    8     11,240 K
WmiPrvSE.exe                 33040 Services                   0     12,784 K
